"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API Testing","0","User Management API","0","3","Pagination Validation","0"
"0","API Testing","0","User Management API","0","1","Response Extraction","0"
"0","API Testing","0","Schema Contract Validation","0","3","Schema Validation","0"
"0","Parallel Testing","0","Side-by-Side Environment Comparison","0","1","Product page output comparison across environments","0"
"0","API Testing","0","CRUD Operations","0","4","Create User","0"
"0","API Testing","0","CRUD Operations","0","2","Update User — Full Replace","0"
"0","API Testing","0","User Management API","0","4","Get Single User","0"
"0","API Testing","0","CRUD Operations","0","1","Update User — Partial","0"
"0","API Testing","0","Schema Contract Validation","0","1","Error Response Schema","0"
"0","API Testing","0","User Management API","0","1","Get Users List","0"
"1","API Testing","0","User Management API","0","0","","0"
"0","","0","","0","4","User Login","0"
"0","API Testing","0","Authentication API","0","1","User Registration","0"
"0","API Testing","0","User Management API","0","1","Error Handling","0"
"0","API Testing","0","Authentication API","0","5","Failed Login","0"
"0","API Testing","0","Schema Contract Validation","0","1","Schema Consistency","0"
"0","API Testing","0","Authentication API","0","1","Successful Login","0"
"0","Parallel Testing","0","Side-by-Side Environment Comparison","0","1","Login flow comparison across environments","0"
"0","API Testing","0","CRUD Operations","0","1","Full CRUD Lifecycle","0"
"0","API Testing","0","User Management API","0","1","Response Headers","0"
"0","API Testing","0","CRUD Operations","0","1","PUT vs PATCH","0"
"0","API Testing","0","Authentication API","0","1","Token Based Auth","0"
"0","API Testing","0","CRUD Operations","0","1","Delete User","0"
"0","API Testing","0","Authentication API","0","1","Registration Error Handling","0"
